date,date_decimal,gdp_tot,pce_core,expected_pce,ffr,covid_index,fci_chicago_fed,fci_new_3yr,fci_new_1yr,gdp_pot_cbo
1968-06-30,1968.25,8.545203805541531,4.626578440940982,4.197801739307188,6.253685799289976,0.0,,,,8.501819926009102
1968-09-30,1968.5,8.552919151180275,4.446152761366902,4.4055680876222265,6.214198890787093,0.0,,,,8.512866021990998
1968-12-31,1968.75,8.556839198734517,4.628482678542768,4.55882145661621,6.181902305443732,0.0,,,,8.523911230877216
1969-03-31,1969.0,8.572362394754862,4.346960231337235,4.512043528046972,6.883859337332465,0.0,,,,8.534594410513769
1969-06-30,1969.25,8.57539134232,4.75921416496502,4.545202459052981,8.80785976075138,0.0,,,,8.544863956946395
1969-09-30,1969.5,8.581969184355149,4.588205513839445,4.580715647171117,9.534530037315726,0.0,,,,8.554659173662174
1969-12-31,1969.75,8.577075137517323,4.669994502201642,4.591093603085836,9.48642838045066,0.0,,,,8.564103679878508
1970-03-31,1970.0,8.575585110841937,4.331631827061596,4.587261502016926,9.080256700898982,0.0,,,,8.573222246478192
1970-06-30,1970.25,8.577001291734412,4.501232021571351,4.5227659661685085,8.323645715622185,0.0,,,,8.581945577127783
1970-09-30,1970.5,8.586173769494293,4.425255820078773,4.48202854272834,7.035654761006716,0.0,,,,8.590348147817037
1970-12-31,1970.75,8.575400210832694,5.578496584947389,4.709154063414777,5.805831665704808,0.0,,,,8.598451936820855
1971-03-31,1971.0,8.602199376017348,5.035661311945447,4.88516143463574,3.9874695144256345,0.0,0.8186666666666667,,,8.606431538228561
1971-06-30,1971.25,8.607592971279491,4.537100187050795,4.894128476005601,4.738647462556234,0.0,1.2966153846153847,,,8.61439743597291
1971-09-30,1971.5,8.615783802897976,3.752285460302312,4.725885886061485,5.709342673556139,0.0,1.6197692307692306,,,8.62233756348511
1971-12-31,1971.75,8.61812969555017,2.2775599374066795,3.900651724176309,4.933491091354236,0.0,1.536,,,8.63027363313908
1972-03-31,1972.0,8.636335125573908,3.818017823560912,3.5962408520801743,3.6611777165228334,0.0,0.7372307692307692,,,8.638242178170453
1972-06-30,1972.25,8.658774347583288,2.6963875214680195,3.1360626856844807,4.455882444119963,0.0,0.1288461538461538,,,8.646253589983415
1972-09-30,1972.5,8.668170957156914,2.9961334919198603,2.9470246935888675,4.926399539346682,0.0,0.1586923076923077,,,8.654345213905728
1972-12-31,1972.75,8.684776674384928,2.5035745600283725,3.003528349244291,5.356299861855862,0.0,-0.2181538461538461,,,8.662565180354216
1973-03-31,1973.0,8.709224786168932,2.7779538257489853,2.743512349791309,6.851359687653691,0.0,0.6747692307692308,,,8.670886156042057
1973-06-30,1973.25,8.72005337909907,5.411164663720563,3.4222066353544456,8.246810044279185,0.0,1.19,,,8.679476143066575
1973-09-30,1973.5,8.714781121855529,5.28135095372436,3.9935110008055705,11.299097842838512,0.0,2.0215384615384617,,,8.688098738068831
1973-12-31,1973.75,8.724228661386713,5.530740481251143,4.750302481111262,10.665397164938174,0.0,2.1218461538461537,,,8.696838355416487
1974-03-31,1974.0,8.715594440905585,6.808986595624559,5.758060673580156,9.912675157224824,0.0,0.8263076923076922,,,8.70563601685741
1974-06-30,1974.25,8.717968590487683,9.818474198532035,6.859888057283024,12.08022028289788,0.0,2.959846153846154,,,8.714458442303895
1974-09-30,1974.5,8.708470855614044,11.27137791351896,8.357394797231674,13.038534536400626,0.0,4.778230769230769,,,8.723102070481442
1974-12-31,1974.75,8.704579235351222,9.65630004205854,9.388784687433525,9.938673980138146,0.0,3.005153846153846,,,8.731574537757895
1975-03-31,1975.0,8.692328153052085,7.738195580555353,9.621086933666222,6.598920811283016,0.0,1.462153846153846,,,8.739773842177616
1975-06-30,1975.25,8.699449746097601,6.0505778341663135,8.679112842574792,5.648635369600918,0.0,0.1103076923076923,,,8.747751303443284
1975-09-30,1975.5,8.716425288956067,5.955494217974085,7.350141918688572,6.44414619803757,0.0,-0.0916923076923076,,,8.755585024166963
1975-12-31,1975.75,8.729806291640068,6.464274263736672,6.552135474108106,5.64149562000007,0.0,0.0579230769230769,,,8.763333264272463
1976-03-31,1976.0,8.752051693942724,6.032426857947734,6.125693293456201,5.015078302057918,0.0,-0.5791538461538461,,,8.770960559252593
1976-06-30,1976.25,8.75935867320529,4.770711805008095,5.805726786166646,5.409715517440672,0.0,-0.5734615384615385,,,8.778622177057292
1976-09-30,1976.5,8.764817820753837,6.21646933223836,5.870970564732716,5.502366639468748,0.0,-0.6484615384615384,,,8.786437346934044
1976-12-31,1976.75,8.77201787376241,6.212742401458639,5.808087599163207,5.064771052256201,0.0,-0.6972142857142857,,,8.79429428068032
1977-03-31,1977.0,8.783810399285425,6.675394113945762,5.968829413162714,4.837795455389582,0.0,-0.8958333333333334,,,8.802358249135985
1977-06-30,1977.25,8.803043487189042,6.065925820269839,6.29263291697815,5.366980833022095,0.0,-0.6083846153846154,,,8.810547817066517
1977-09-30,1977.5,8.820914494934435,6.598440788451038,6.388125781031319,6.077902135734026,0.0,-0.4746428571428571,,,8.818792527203078
1977-12-31,1977.75,8.820934422532305,5.770983078681721,6.277685950337091,6.826088995802193,0.0,-0.2543076923076923,,,8.827190990165716
1978-03-31,1978.0,8.824127739858717,6.1921004856623485,6.156862543266237,7.089919497979502,0.0,-0.1946923076923077,,,8.835728937419743
1978-06-30,1978.25,8.862047344281246,6.841999194304546,6.350880886774913,7.663177234593133,0.0,0.4369230769230769,,,8.844363363179978
1978-09-30,1978.5,8.872054591878655,6.804538330614703,6.40240527231583,8.558147198904464,0.0,0.5965384615384616,,,8.853159041506371
1978-12-31,1978.75,8.885406313821512,7.116228124748579,6.738716533832544,10.202723148454297,0.0,1.7293076923076924,,,8.86205494384516
1979-03-31,1979.0,8.887200641190796,5.427513311087843,6.5475697401889175,10.75142846879389,0.0,0.8034615384615384,,,8.871128278502175
1979-06-30,1979.25,8.888267524750336,8.699484528236402,7.011941073671881,10.871235159237711,0.0,0.4522307692307692,,,8.879794928346975
1979-09-30,1979.5,8.895668119546325,7.314445668756702,7.139417908207381,11.736157134589686,0.0,1.5048461538461535,,,8.887898589050113
1979-12-31,1979.75,8.89816545031333,8.25733796283237,7.424695367728329,14.754670649904234,0.0,2.3068461538461538,,,8.895357433017171
1980-03-31,1980.0,8.901306224453762,9.667844145593255,8.484778076354683,16.47711254579638,0.0,2.444846153846154,,,8.902011472538328
1980-06-30,1980.25,8.880486644622188,8.84973551544837,8.522340823157673,13.724201278603587,0.0,3.0776923076923075,,,8.907864458432032
1980-09-30,1980.5,8.879297390241565,8.80779857171566,8.895679048897414,10.486068191953546,0.0,0.958153846153846,,,8.91284429934613
1980-12-31,1980.75,8.897774858727486,9.628003496354069,9.238345432277836,17.43323860864969,0.0,2.4047692307692308,,,8.918020650597898
1981-03-31,1981.0,8.917179585407846,8.777534218946737,9.015767950616208,18.28925318155237,0.0,2.3846923076923074,,,8.923735613238264
1981-06-30,1981.25,8.9097412322575,7.48835904649916,8.675423833378906,19.74866985501029,0.0,2.4196153846153843,,,8.929833703401897
1981-09-30,1981.5,8.921645119764422,7.299513913421407,8.298352668805343,19.50217431878265,0.0,3.3331538461538464,,,8.936260582838896
1981-12-31,1981.75,8.91068935664419,7.052303944498238,7.654427780841385,14.766301700051576,0.0,2.5329230769230766,,,8.943031267640869
1982-03-31,1982.0,8.895030954817281,5.812344362375465,6.913130316698567,15.513139433376178,0.0,1.989923076923077,,,8.950050661620399
1982-06-30,1982.25,8.899582352758662,5.374375857830051,6.38463451953129,15.849230262136915,0.0,2.464153846153846,,,8.957205286362509
