date,date_decimal,covid_dummy_0,covid_dummy_2020,covid_dummy_2021,covid_dummy_2022
1979-09-30,1979.5,1.0,0.0,0.0,0.0
1979-12-31,1979.75,1.0,0.0,0.0,0.0
1980-03-31,1980.0,1.0,0.0,0.0,0.0
1980-06-30,1980.25,1.0,0.0,0.0,0.0
1980-09-30,1980.5,1.0,0.0,0.0,0.0
1980-12-31,1980.75,1.0,0.0,0.0,0.0
1981-03-31,1981.0,1.0,0.0,0.0,0.0
1981-06-30,1981.25,1.0,0.0,0.0,0.0
1981-09-30,1981.5,1.0,0.0,0.0,0.0
1981-12-31,1981.75,1.0,0.0,0.0,0.0
1982-03-31,1982.0,1.0,0.0,0.0,0.0
1982-06-30,1982.25,1.0,0.0,0.0,0.0
1982-09-30,1982.5,1.0,0.0,0.0,0.0
1982-12-31,1982.75,1.0,0.0,0.0,0.0
1983-03-31,1983.0,1.0,0.0,0.0,0.0
1983-06-30,1983.25,1.0,0.0,0.0,0.0
1983-09-30,1983.5,1.0,0.0,0.0,0.0
1983-12-31,1983.75,1.0,0.0,0.0,0.0
1984-03-31,1984.0,1.0,0.0,0.0,0.0
1984-06-30,1984.25,1.0,0.0,0.0,0.0
1984-09-30,1984.5,1.0,0.0,0.0,0.0
1984-12-31,1984.75,1.0,0.0,0.0,0.0
1985-03-31,1985.0,1.0,0.0,0.0,0.0
1985-06-30,1985.25,1.0,0.0,0.0,0.0
1985-09-30,1985.5,1.0,0.0,0.0,0.0
1985-12-31,1985.75,1.0,0.0,0.0,0.0
1986-03-31,1986.0,1.0,0.0,0.0,0.0
1986-06-30,1986.25,1.0,0.0,0.0,0.0
1986-09-30,1986.5,1.0,0.0,0.0,0.0
1986-12-31,1986.75,1.0,0.0,0.0,0.0
1987-03-31,1987.0,1.0,0.0,0.0,0.0
1987-06-30,1987.25,1.0,0.0,0.0,0.0
1987-09-30,1987.5,1.0,0.0,0.0,0.0
1987-12-31,1987.75,1.0,0.0,0.0,0.0
1988-03-31,1988.0,1.0,0.0,0.0,0.0
1988-06-30,1988.25,1.0,0.0,0.0,0.0
1988-09-30,1988.5,1.0,0.0,0.0,0.0
1988-12-31,1988.75,1.0,0.0,0.0,0.0
1989-03-31,1989.0,1.0,0.0,0.0,0.0
1989-06-30,1989.25,1.0,0.0,0.0,0.0
1989-09-30,1989.5,1.0,0.0,0.0,0.0
1989-12-31,1989.75,1.0,0.0,0.0,0.0
1990-03-31,1990.0,1.0,0.0,0.0,0.0
1990-06-30,1990.25,1.0,0.0,0.0,0.0
1990-09-30,1990.5,1.0,0.0,0.0,0.0
1990-12-31,1990.75,1.0,0.0,0.0,0.0
1991-03-31,1991.0,1.0,0.0,0.0,0.0
1991-06-30,1991.25,1.0,0.0,0.0,0.0
1991-09-30,1991.5,1.0,0.0,0.0,0.0
1991-12-31,1991.75,1.0,0.0,0.0,0.0
1992-03-31,1992.0,1.0,0.0,0.0,0.0
1992-06-30,1992.25,1.0,0.0,0.0,0.0
1992-09-30,1992.5,1.0,0.0,0.0,0.0
1992-12-31,1992.75,1.0,0.0,0.0,0.0
1993-03-31,1993.0,1.0,0.0,0.0,0.0
1993-06-30,1993.25,1.0,0.0,0.0,0.0
1993-09-30,1993.5,1.0,0.0,0.0,0.0
1993-12-31,1993.75,1.0,0.0,0.0,0.0
1994-03-31,1994.0,1.0,0.0,0.0,0.0
1994-06-30,1994.25,1.0,0.0,0.0,0.0
1994-09-30,1994.5,1.0,0.0,0.0,0.0
1994-12-31,1994.75,1.0,0.0,0.0,0.0
1995-03-31,1995.0,1.0,0.0,0.0,0.0
1995-06-30,1995.25,1.0,0.0,0.0,0.0
1995-09-30,1995.5,1.0,0.0,0.0,0.0
1995-12-31,1995.75,1.0,0.0,0.0,0.0
1996-03-31,1996.0,1.0,0.0,0.0,0.0
1996-06-30,1996.25,1.0,0.0,0.0,0.0
1996-09-30,1996.5,1.0,0.0,0.0,0.0
1996-12-31,1996.75,1.0,0.0,0.0,0.0
1997-03-31,1997.0,1.0,0.0,0.0,0.0
1997-06-30,1997.25,1.0,0.0,0.0,0.0
1997-09-30,1997.5,1.0,0.0,0.0,0.0
1997-12-31,1997.75,1.0,0.0,0.0,0.0
1998-03-31,1998.0,1.0,0.0,0.0,0.0
1998-06-30,1998.25,1.0,0.0,0.0,0.0
1998-09-30,1998.5,1.0,0.0,0.0,0.0
1998-12-31,1998.75,1.0,0.0,0.0,0.0
1999-03-31,1999.0,1.0,0.0,0.0,0.0
1999-06-30,1999.25,1.0,0.0,0.0,0.0
1999-09-30,1999.5,1.0,0.0,0.0,0.0
1999-12-31,1999.75,1.0,0.0,0.0,0.0
2000-03-31,2000.0,1.0,0.0,0.0,0.0
2000-06-30,2000.25,1.0,0.0,0.0,0.0
2000-09-30,2000.5,1.0,0.0,0.0,0.0
2000-12-31,2000.75,1.0,0.0,0.0,0.0
2001-03-31,2001.0,1.0,0.0,0.0,0.0
2001-06-30,2001.25,1.0,0.0,0.0,0.0
2001-09-30,2001.5,1.0,0.0,0.0,0.0
2001-12-31,2001.75,1.0,0.0,0.0,0.0
2002-03-31,2002.0,1.0,0.0,0.0,0.0
2002-06-30,2002.25,1.0,0.0,0.0,0.0
2002-09-30,2002.5,1.0,0.0,0.0,0.0
2002-12-31,2002.75,1.0,0.0,0.0,0.0
2003-03-31,2003.0,1.0,0.0,0.0,0.0
2003-06-30,2003.25,1.0,0.0,0.0,0.0
2003-09-30,2003.5,1.0,0.0,0.0,0.0
2003-12-31,2003.75,1.0,0.0,0.0,0.0
2004-03-31,2004.0,1.0,0.0,0.0,0.0
2004-06-30,2004.25,1.0,0.0,0.0,0.0
2004-09-30,2004.5,1.0,0.0,0.0,0.0
2004-12-31,2004.75,1.0,0.0,0.0,0.0
2005-03-31,2005.0,1.0,0.0,0.0,0.0
2005-06-30,2005.25,1.0,0.0,0.0,0.0
2005-09-30,2005.5,1.0,0.0,0.0,0.0
2005-12-31,2005.75,1.0,0.0,0.0,0.0
2006-03-31,2006.0,1.0,0.0,0.0,0.0
2006-06-30,2006.25,1.0,0.0,0.0,0.0
2006-09-30,2006.5,1.0,0.0,0.0,0.0
2006-12-31,2006.75,1.0,0.0,0.0,0.0
2007-03-31,2007.0,1.0,0.0,0.0,0.0
2007-06-30,2007.25,1.0,0.0,0.0,0.0
2007-09-30,2007.5,1.0,0.0,0.0,0.0
2007-12-31,2007.75,1.0,0.0,0.0,0.0
2008-03-31,2008.0,1.0,0.0,0.0,0.0
2008-06-30,2008.25,1.0,0.0,0.0,0.0
2008-09-30,2008.5,1.0,0.0,0.0,0.0
2008-12-31,2008.75,1.0,0.0,0.0,0.0
2009-03-31,2009.0,1.0,0.0,0.0,0.0
2009-06-30,2009.25,1.0,0.0,0.0,0.0
2009-09-30,2009.5,1.0,0.0,0.0,0.0
2009-12-31,2009.75,1.0,0.0,0.0,0.0
2010-03-31,2010.0,1.0,0.0,0.0,0.0
2010-06-30,2010.25,1.0,0.0,0.0,0.0
2010-09-30,2010.5,1.0,0.0,0.0,0.0
2010-12-31,2010.75,1.0,0.0,0.0,0.0
2011-03-31,2011.0,1.0,0.0,0.0,0.0
2011-06-30,2011.25,1.0,0.0,0.0,0.0
2011-09-30,2011.5,1.0,0.0,0.0,0.0
2011-12-31,2011.75,1.0,0.0,0.0,0.0
2012-03-31,2012.0,1.0,0.0,0.0,0.0
2012-06-30,2012.25,1.0,0.0,0.0,0.0
2012-09-30,2012.5,1.0,0.0,0.0,0.0
2012-12-31,2012.75,1.0,0.0,0.0,0.0
2013-03-31,2013.0,1.0,0.0,0.0,0.0
2013-06-30,2013.25,1.0,0.0,0.0,0.0
2013-09-30,2013.5,1.0,0.0,0.0,0.0
2013-12-31,2013.75,1.0,0.0,0.0,0.0
2014-03-31,2014.0,1.0,0.0,0.0,0.0
2014-06-30,2014.25,1.0,0.0,0.0,0.0
2014-09-30,2014.5,1.0,0.0,0.0,0.0
2014-12-31,2014.75,1.0,0.0,0.0,0.0
2015-03-31,2015.0,1.0,0.0,0.0,0.0
2015-06-30,2015.25,1.0,0.0,0.0,0.0
2015-09-30,2015.5,1.0,0.0,0.0,0.0
