date,kind,ffr,t10yr,mortgage,bbb,stock,house,dollar
1995-09-30,quarter,0.0765871435640636,-0.0016529068115116,-0.121278965732483,-0.0253770816991806,-0.572116114332768,-0.0996206662489605,0.212512456335638
1995-12-31,quarter,0.0500827759911271,0.0022426667076554,-0.168568526257338,-0.0533075690623369,-0.583328954130184,-0.0996773405805662,0.301167121030921
1996-03-31,quarter,0.0036098190628199,-0.0037975935186069,-0.120760804902921,-0.0344566422490078,-0.614044467237217,-0.0989491827132766,0.35649566494502
1996-06-30,quarter,-0.004216287421984,-0.0141668538185591,0.0865183640329178,0.0342037730513931,-0.622695490911897,-0.0894360875207044,0.351291483101629
1996-09-30,quarter,0.0016872244320153,-0.019371664903351,0.06322985023557,0.0455021527206857,-0.604992040868996,-0.0850901139094244,0.313842469816033
1996-12-31,quarter,-0.0013088210289674,-0.008822061935302,-0.0452329533668965,-0.0104483533435966,-0.684145774101232,-0.0866029851384476,0.288776683986672
1997-03-31,quarter,-0.0076411672667705,0.0046050211436131,-0.010580820134921,-0.0445618162665533,-0.637577821058749,-0.0888032586421279,0.381282572783455
1997-06-30,quarter,0.0173964416241964,0.0210831199236494,0.0038387927609093,-0.0889033535697984,-0.900172444139339,-0.0949321757453825,0.389394870580255
1997-09-30,quarter,0.0109006238584932,0.0278521756937563,-0.0922455078850333,-0.13353179983971,-0.987432419260665,-0.100650776474204,0.414016124082327
1997-12-31,quarter,0.0054342079123943,0.0305762082606824,-0.121516276945281,-0.14965533368039,-0.907365652124215,-0.111912008390694,0.527785826911007
1998-03-31,quarter,4.2982880044363e-06,0.0240123150675401,-0.116777373221338,-0.130364031775743,-1.01611567444367,-0.127124539537513,0.702650825554761
1998-06-30,quarter,0.000873777289947613,0.0112551491126842,-0.07149879567182,-0.0820323604763848,-0.905917406260796,-0.136766314989002,0.648805581226946
1998-09-30,quarter,0.0063061497465981,0.0105675541935653,-0.104658026021199,-0.0659026419468133,-0.492986623737346,-0.151980115750089,0.682712647549558
1998-12-31,quarter,-0.0623706596163093,0.0175219484284005,-0.0908536054580103,-0.0589972765983335,-0.805146127300795,-0.161853684942819,0.443028459075406
1999-03-31,quarter,-0.0538814774103569,0.0252963727019899,-0.044745813528535,-0.0591021941095962,-0.786098833004551,-0.172567631283992,0.377217513033148
1999-06-30,quarter,-0.0409252426033839,0.030842995448695,0.0374168531675406,-0.0481222603939847,-0.85072366086177,-0.186050689641901,0.30322539260237
1999-09-30,quarter,0.0109476619628553,0.0243809793397874,0.145808244843357,0.0060285919946226,-0.598698249141559,-0.193728570897744,0.203968077073419
1999-12-31,quarter,0.0228083854914934,0.0153010762293776,0.11933714573694,0.0502853847296108,-0.835505487952616,-0.20370809463506,0.0936506296290259
2000-03-31,quarter,0.0575141202511169,0.010514381792952,0.176851442649575,0.0831644856697029,-0.798082759202029,-0.190837213878031,0.0826002043676681
2000-06-30,quarter,0.0921013607755128,0.0055057131344757,0.133923586659039,0.126478467294163,-0.553816353768271,-0.195568201074737,0.152308408198249
2000-09-30,quarter,0.0896747673230827,-0.0031400625581425,0.0425787188527068,0.137785747465704,-0.446311587947134,-0.208598901333577,0.179990154883977
2000-12-31,quarter,0.0619411347994138,-0.0055916801171137,-0.0545117072796366,0.146028542433202,-0.133310279930982,-0.223194570340232,0.293559523174401
2001-03-31,quarter,-0.0437955341073496,-0.0053011825365883,-0.16739236314265,0.0935958563564471,0.197307992711748,-0.22785183999698,0.294265536619481
2001-06-30,quarter,-0.153275224967497,-0.0073967303456235,-0.0881814235313373,0.0658902016934122,0.0348037068427461,-0.231560654986085,0.358282921500028
2001-09-30,quarter,-0.191450515843008,-0.0087825981696721,-0.107190073152174,0.024548114261121,0.379211295510795,-0.239346868619482,0.304919410338873
2001-12-31,quarter,-0.264676089603864,-0.004128286646996,-0.107900559040702,-0.0055029797186375,0.195279162787309,-0.239962161510879,0.278477551074935
2002-03-31,quarter,-0.226057511045541,0.0075315622764572,-0.0439777379395781,-0.0200496925920347,0.189702196995121,-0.227435350279149,0.296418852332215
2002-06-30,quarter,-0.163780688758471,0.0190178182162335,-0.0705690749199609,-0.0364199595923372,0.498465823161813,-0.223460911402516,0.168655587231774
2002-09-30,quarter,-0.119210396471049,0.0341727336387895,-0.166277764927062,-0.0827991521053004,0.876282589056456,-0.229945950822402,0.0414170767283252
2002-12-31,quarter,-0.121888391305472,0.044006179881243,-0.164605256920222,-0.131296484716088,0.721766409199068,-0.236141236178481,0.0341520051442457
2003-03-31,quarter,-0.111899333849589,0.0492776881641959,-0.173593543528311,-0.215856258332429,0.724470319094959,-0.226722929331742,-0.0996630746001221
2003-06-30,quarter,-0.0810169951128597,0.0490537624873155,-0.1955564488264,-0.298055833642191,0.294535071903291,-0.229614760664682,-0.293562943845008
2003-09-30,quarter,-0.077853570387587,0.0393713248316253,-0.0212723106451358,-0.269883636625302,0.144617938247454,-0.244202085452097,-0.294207089013698
2003-12-31,quarter,-0.0521941415761741,0.0324087000909906,-0.0495536200676076,-0.265930466921454,-0.165329049671094,-0.257127375605618,-0.4167261502949
2004-03-31,quarter,-0.0342681709420609,0.0276854442095376,-0.096356579585822,-0.257812666436649,-0.265498918081389,-0.261877539340663,-0.474079801152532
2004-06-30,quarter,-0.0197373780096174,0.0236548134140053,0.0459081251450303,-0.191723840339062,-0.239160174825261,-0.286072036224783,-0.299590894020285
2004-09-30,quarter,0.0290999242580588,0.0216005801059564,-0.0330269551258309,-0.185367521622504,-0.204909620382544,-0.32244515017959,-0.276342621476926
2004-12-31,quarter,0.0717907687408419,0.0221070426043303,-0.040792791773951,-0.193713047549409,-0.358454234251777,-0.343913221054969,-0.40329066627966
2005-03-31,quarter,0.103165074060637,0.0209106676917705,-0.0305688757007771,-0.177885131112439,-0.331635514481547,-0.352454028845709,-0.389348575050704
2005-06-30,quarter,0.117467744512551,0.0148216145418053,-0.0304961238597509,-0.146122179232129,-0.410616340119317,-0.372413225991615,-0.271417343072857
2005-09-30,quarter,0.134822914410199,0.0017585994935478,-0.0060412886128195,-0.109164198865232,-0.508204752492765,-0.392422727401081,-0.198297349622536
2005-12-31,quarter,0.148202102693962,-0.0072117560259578,0.0961972456841866,-0.0227429333173048,-0.460994244318514,-0.390432200110523,-0.0967592351873549
2006-03-31,quarter,0.155671280396006,-0.0096382008729979,0.0711856756503508,0.0315851242968234,-0.505982825252735,-0.357544341283566,-0.109996800477312
2006-06-30,quarter,0.155065823613624,-0.0158212231228902,0.134181556127508,0.105240243263366,-0.330263359209511,-0.322228745876424,-0.158084491092609
2006-09-30,quarter,0.145307897243692,-0.0120753315250738,0.0787327637904701,0.111016083898581,-0.345037514588649,-0.261926359762108,-0.166193998498864
2006-12-31,quarter,0.103401355207015,-0.0090999385978528,-0.002670664412418,0.0921336972309628,-0.404504860396065,-0.181869929925079,-0.172895579834883
2007-03-31,quarter,0.0756431089103601,-0.0110387287833562,-0.0068475322024156,0.0949955600695428,-0.388289187156731,-0.100115593219393,-0.155242252641628
2007-06-30,quarter,0.0521757261922018,-0.0069299454328745,0.0245295512229411,0.0820253626590718,-0.451976057185168,-0.027852696753346,-0.245382620285596
2007-09-30,quarter,0.0225432188701722,-0.0117197913976565,0.0616392924748496,0.106213513182083,-0.425695053298586,0.0466654491793886,-0.306879474604058
2007-12-31,quarter,-0.044169044466761,-0.0110041256333406,-0.0288044595079572,0.0920201530203575,-0.273041687075278,0.119235272296379,-0.453215314263774
2008-03-31,quarter,-0.164325545472989,-0.0038234736718212,-0.0911985278867668,0.0789197093838137,-0.0176243041775744,0.192734972280837,-0.499795013641467
2008-06-30,quarter,-0.223775009676974,-0.00029799953971978,-0.0166810390439384,0.0852743490201046,0.0550928803943753,0.25876624630808,-0.520796577528722
2008-09-30,quarter,-0.171652065392911,0.00577213789527,0.0286519162310212,0.115151640281427,0.280394702765755,0.321590917826912,-0.333995894063192
2008-12-31,quarter,-0.262799168113434,0.0180668129739614,-0.0829511380867568,0.295737952004803,0.836344525697463,0.37309184652049,0.29360325880206
2009-03-31,quarter,-0.21960373640411,0.0279758486212856,-0.227718339523798,0.289492905890463,1.05210930921757,0.399900177186892,0.508797694036025
2009-06-30,quarter,-0.16653911783187,0.0330923447804436,-0.164520520879834,0.199765028492231,0.650115984642006,0.395799739261699,0.332585760039192
2009-09-30,quarter,-0.117838720702485,0.029276030472675,-0.101797554059618,0.0561400500288168,0.275095429146084,0.37035640277628,0.121606506407479
2009-12-31,quarter,-0.0926014245938145,0.02792185404691,-0.118677515004245,-0.025083330033948,0.14678257383821,0.307780065620401,-0.0708802784411429
2010-03-31,quarter,-0.0663328595264217,0.0280649702649901,-0.0694082002168125,-0.0901133768104103,0.0274565383205146,0.217260332851181,-0.0727818292607182
2010-06-30,quarter,-0.0413049772123866,0.028144936089335,-0.0794408212006555,-0.127275034647323,0.305226356517176,0.125596497811684,-0.0028464638920343
2010-09-30,quarter,-0.0269298796336842,0.0275602726173103,-0.151952537425502,-0.182414315510286,0.0508979644774834,0.0914015228093042,-0.0473354904678722
2010-12-31,quarter,-0.0156792931820208,0.0238935871129868,-0.104694288007104,-0.204370280340697,-0.214564796824954,0.0875615238802191,-0.19640649483329
2011-03-31,quarter,-0.0114124847051205,0.0165398725252518,0.0059547107999561,-0.208312286965902,-0.388099607669504,0.0936299491862321,-0.26910988049724
2011-06-30,quarter,-0.0115863032666995,0.0179893283597202,-0.0406770966759911,-0.300093054666776,-0.413064950783262,0.117602981105582,-0.39891385084426
2011-09-30,quarter,-0.0073721461335898,0.0184934799051094,-0.103659764685796,-0.366460696801982,-0.106750848048949,0.13746330882059,-0.338461367604824
2011-12-31,quarter,-0.0052422059266275,0.0217120099048819,-0.137648468409119,-0.415749296504873,-0.34727268300389,0.148027368733195,-0.0677677734890569
2012-03-31,quarter,-0.000190436511324859,0.0255639957645404,-0.111455450091395,-0.349493080310721,-0.56004619346563,0.125614929237949,-0.0307667225085577
2012-06-30,quarter,0.0043131768055273,0.0380513870059691,-0.110224171229963,-0.255491714987696,-0.367212846131383,0.0672631041138276,0.100803083336553
2012-09-30,quarter,0.0019326745945949,0.0464706682378298,-0.133090055738144,-0.179559007606751,-0.42813020022091,0.0017297982317362,0.120896010372091
2012-12-31,quarter,0.0026634857097849,0.0478097080025589,-0.137094254253848,-0.166967950119951,-0.37290988094242,-0.0747531284912064,0.0429953877338558
2013-03-31,quarter,-0.000251684987848823,0.0441367639035748,-0.0684013884409626,-0.144210757376536,-0.572090485711793,-0.158807825640274,0.0565235182954725
2013-06-30,quarter,-0.0025024384323104,0.0362855183085979,-0.0134122846189967,-0.123089813422938,-0.581663736490758,-0.243699229211072,0.103569639606512
2013-09-30,quarter,-0.0047342719788212,0.0243985844590188,0.15523920330968,-0.0553994087049436,-0.579288523548858,-0.295177634565276,0.151462914122452
2013-12-31,quarter,-0.0029951370811603,0.0224675055868878,0.0736227777611187,-0.0519466346840532,-0.669700266987087,-0.314838387287272,0.110503636823641
2014-03-31,quarter,-0.0033014625807946,0.0192624868226937,0.0750170290953641,-0.0602010966393988,-0.653857114286619,-0.307820910090511,0.16270507475516
2014-06-30,quarter,-0.000464402453636073,0.0062992099174897,0.0181819225577148,-0.068864162575638,-0.699007898066978,-0.289655559558012,0.0984651293921844
2014-09-30,quarter,-0.00082787040455997,-0.0070781701259612,0.0054262576302577,-0.0670122225972227,-0.647767340204781,-0.254047120851044,0.117518548154472
2014-12-31,quarter,0.000592829102783166,-0.0123384560751789,-0.0368060106922438,-0.0556800477448339,-0.638304700243858,-0.205455489302361,0.323730075940223
2015-03-31,quarter,0.0013794426138906,-0.0117738014164047,-0.0743397770140337,-0.0314455907788715,-0.557024783486513,-0.177092011910293,0.592804699341649
2015-06-30,quarter,0.0021876128533055,-0.0148021387317337,-0.0262073093862579,-0.0082625529948149,-0.498221830853259,-0.164846459067511,0.586835261615347
2015-09-30,quarter,0.0025303071627076,-0.0150764043893112,0.001979209295736,0.0395903807421898,-0.229162319626432,-0.16365929945745,0.687245025014667
2015-12-31,quarter,0.0043944522720232,-0.0120872456331399,-0.0067160347625678,0.0707882271595324,-0.295647078948704,-0.17195343665,0.675774085269501
2016-03-31,quarter,0.0236492596907255,-0.00091394618641219,-0.0427481372879038,0.0728825607270269,-0.224259347917704,-0.181511288953289,0.655763186873553
2016-06-30,quarter,0.0168476848180606,0.0083898057670196,-0.0634433512008161,0.0102424050461015,-0.219591941456414,-0.185961487988622,0.428401816733539
2016-09-30,quarter,0.0148775454970465,0.0231302306482963,-0.0791438906139129,-0.0447550704913376,-0.243379356916969,-0.182122141374758,0.366201043524802
2016-12-31,quarter,0.0145647545210425,0.0209312949507556,0.029627306059577,-0.0140074492350249,-0.272996777848414,-0.18743591395401,0.423600001363303
2017-03-31,quarter,0.0368332118369242,0.0153614808455369,0.103364548806777,0.0062023538366966,-0.348933601093279,-0.192610979456893,0.371885469932099
2017-06-30,quarter,0.0507680329864883,0.0095298406357937,0.0316649923478712,0.0015541300458285,-0.348997246561145,-0.199252416521353,0.190334362217842
2017-09-30,quarter,0.0566807038185099,0.0034682327124749,0.0156892069366808,-0.0090791075721007,-0.395620307277772,-0.193157088454825,-0.0532297666933996
2017-12-31,quarter,0.043826757313054,-0.0014476942541353,0.0166328712067858,-0.0126936414412626,-0.460405382929052,-0.194680511530226,-0.0660733110732057
